,id,user_location,date,text,hashtags,source,retweets,favorites,is_retweet
120350,1409806858089418758,"Colombo, Sri Lanka.",2021-06-29 09:32:02,🔺 Health Ministry's Advisory Committee gives green light to use #Pfizer or #Moderna as the 02nd dose for those who… https://t.co/DvWxmn2jRv,"['Pfizer', 'Moderna']",Twitter Web App,1,1,False
85865,1398689762567880705,"Chennai, India",2021-05-29 17:16:40,"Got Vaccinated. First dose #Covaxin 
#CovidVaccine","['Covaxin', 'CovidVaccine']",Twitter for Android,0,2,False
8716,1361131152925409281,,2021-02-15 01:52:10,"I've already lost faith in the donations to ministers #BuildingSafetyCrisis ,  if this is true, how many other mini… https://t.co/kxOHZgTJVa",['BuildingSafetyCrisis'],Twitter for iPad,0,0,False
134483,1417368825251565569,,2021-07-20 06:20:36,"560078, 
AGE 18+
96-D1, 87-D2 slots,
#COVAXIN on 20-07-2021
@ Apollo Clinic J P Nagar(1410Rs) #BBMP","['COVAXIN', 'BBMP']",cowin_vaccine_app,0,0,False
87198,1397809717993349120,,2021-05-27 06:59:41,@PriyankaPulla @FaheemYounus @ArvinderSoin @paimadhu @ashishkjha what is your opinion on India made #Covaxin ? Your… https://t.co/QZGRu1GKv2,['Covaxin'],Twitter for Android,0,0,False
192163,1437739269548752900,"Bengaluru, India",2021-09-14 11:25:28,"***************** FREE *****************

Pincode: 560086
COVAXIN - Dose 1: 100 slots

Age: 18 and above  (All Ages… https://t.co/AyD4NVyt4Z",,CowinAlertsBot,0,0,False
1067,1340547819153715200,kita nihon,2020-12-20 06:41:20,They are getting so desperate!! Nothing in the 💉 #MedicalTyranny #PseudoEpidemic #COVID19 #scientificdictatorship… https://t.co/NtmVz9rL1a,"['MedicalTyranny', 'PseudoEpidemic', 'COVID19', 'scientificdictatorship']",Twitter Web App,0,0,False
84102,1397307165791109124,,2021-05-25 21:42:43,"Has anyone else noticed that #Moderna makes #mRNA vaccines and their ticker is $MRNA?

I finally connected the dots today 🤣","['Moderna', 'mRNA']",Twitter for iPhone,0,0,False
78457,1396362728151814145,San Jose,2021-05-23 07:09:52,Every data point proves #Covaxin has better antibodies than #Sinopharm https://t.co/KhEqAm6Nhw,"['Covaxin', 'Sinopharm']",Twitter for iPhone,0,0,False
161738,1425246071970680833,,2021-08-11 00:01:58,"If Trump was re-elected we'd have that tremendous vaccine that actually vaccinated you from #COVID 
#CovidVaccine… https://t.co/rJG4NuQQvX","['COVID', 'CovidVaccine']",Twitter for Android,1,4,False
